Point ID,Date,Time,Easting,Northing,Elevation,Accuracy (?),Accuracy (?),Distance
TR0400001    ,26/10/2022,14:41:00,116038.637,559039.05799999996,4.0750000000000002,0.01,0.01,0
TR0400002    ,26/10/2022,14:41:01,116039.038,559038.15599999996,4.0279999999999996,0.01,0.01,0.98711954696570214
TR0400003    ,26/10/2022,14:41:02,116039.61599999999,559037.06599999999,3.9540000000000002,0.01,0.01,2.2208877585524966
TR0400004    ,26/10/2022,14:41:03,116040.15700000001,559035.93500000006,3.875,0.01,0.01,3.4746189896652959
TR0400005    ,26/10/2022,14:41:04,116040.705,559034.74199999997,3.7959999999999998,0.01,0.01,4.7874605643426928
TR0400006    ,26/10/2022,14:41:05,116041.291,559033.554,3.7330000000000001,0.01,0.01,6.1121265599480292
TR0400007    ,26/10/2022,14:41:05,116041.91899999999,559032.40500000003,3.6749999999999998,0.01,0.01,7.4215481879733778
TR0400008    ,26/10/2022,14:41:07,116042.50900000001,559031.17799999996,3.6160000000000001,0.01,0.01,8.7830286322651894
TR0400009    ,26/10/2022,14:41:08,116043.194,559029.93700000003,3.5590000000000002,0.01,0.01,10.200528544012149
TR0400010    ,26/10/2022,14:41:08,116043.92600000001,559028.76300000004,3.4990000000000001,0.01,0.01,11.584038572889099
TR0400011    ,26/10/2022,14:41:10,116044.683,559027.55900000001,3.4649999999999999,0.01,0.01,13.006242847971158
TR0400012    ,26/10/2022,14:41:11,116045.423,559026.37600000005,3.4169999999999998,0.01,0.01,14.401624157826522
TR0400013    ,26/10/2022,14:41:12,116046.136,559025.174,3.3999999999999999,0.01,0.01,15.799183816703822
TR0400014    ,26/10/2022,14:41:13,116046.88,559024.05900000001,3.3540000000000001,0.01,0.01,17.139616955651171
TR0400015    ,26/10/2022,14:41:14,116047.732,559022.93999999994,3.3719999999999999,0.01,0.01,18.546053943269897
TR0400016    ,26/10/2022,14:41:15,116048.569,559021.85600000003,3.415,0.01,0.01,19.915588535682765
TR0400017    ,26/10/2022,14:41:16,116049.281,559020.728,3.3700000000000001,0.01,0.01,21.249503075695792
TR0400018    ,26/10/2022,14:41:17,116050.136,559019.51899999997,3.2959999999999998,0.01,0.01,22.730281924838902
TR0400019    ,26/10/2022,14:41:18,116050.908,559018.39000000001,3.1920000000000002,0.01,0.01,24.097989861460952
TR0400020    ,26/10/2022,14:41:19,116051.67200000001,559017.255,3.0670000000000002,0.01,0.01,25.466171501462242
TR0400021    ,26/10/2022,14:41:20,116052.58900000001,559016.05299999996,2.96,0.01,0.01,26.978022353933731
TR0400022    ,26/10/2022,14:41:21,116053.459,559014.81299999997,2.9169999999999998,0.01,0.01,28.492783061098002
TR0400023    ,26/10/2022,14:41:22,116054.351,559013.68599999999,2.8610000000000002,0.01,0.01,29.930069740900755
TR0400024    ,26/10/2022,14:41:23,116055.223,559012.45499999996,2.8359999999999999,0.01,0.01,31.438626998705828
TR0400025    ,26/10/2022,14:41:24,116055.969,559011.21200000006,2.8140000000000001,0.01,0.01,32.888304548973835
TR0400026    ,26/10/2022,14:41:25,116056.76300000001,559009.96100000001,2.7930000000000001,0.01,0.01,34.37000526103855
TR0400027    ,26/10/2022,14:41:26,116057.478,559008.745,2.7610000000000001,0.01,0.01,35.780636679953936
TR0400028    ,26/10/2022,14:41:27,116058.285,559007.46400000004,2.7010000000000001,0.01,0.01,37.294641303426445
TR0400029    ,26/10/2022,14:41:27,116059.12,559006.21799999999,2.649,0.01,0.01,38.794554967639542
TR0400030    ,26/10/2022,14:41:29,116059.97199999999,559005.00399999996,2.645,0.01,0.01,40.277693531660589
TR0400031    ,26/10/2022,14:41:30,116060.784,559003.83299999998,2.6200000000000001,0.01,0.01,41.702679496484606
TR0400032    ,26/10/2022,14:41:30,116061.602,559002.67700000003,2.5819999999999999,0.01,0.01,43.11882214463278
TR0400033    ,26/10/2022,14:41:32,116062.397,559001.52899999998,2.5600000000000001,0.01,0.01,44.51522072673599
TR0400034    ,26/10/2022,14:41:33,116063.234,559000.26500000001,2.5139999999999998,0.01,0.01,46.031223695042605
TR0400035    ,26/10/2022,14:41:34,116063.96000000001,558999.12399999995,2.4900000000000002,0.01,0.01,47.383613062109021
TR0400036    ,26/10/2022,14:41:35,116064.724,558998.03200000001,2.4860000000000002,0.01,0.01,48.71633959064939
TR0400037    ,26/10/2022,14:41:36,116065.622,558996.94499999995,2.46,0.01,0.01,50.126294554514338
TR0400038    ,26/10/2022,14:41:37,116066.469,558995.80599999998,2.4239999999999999,0.01,0.01,51.54570640451206
TR0400039    ,26/10/2022,14:41:38,116067.425,558994.62100000004,2.391,0.01,0.01,53.068257224638344
TR0400040    ,26/10/2022,14:41:39,116068.183,558993.34600000002,2.3900000000000001,0.01,0.01,54.551560632597024
TR0400041    ,26/10/2022,14:41:40,116069.037,558992.09199999995,2.367,0.01,0.01,56.068739593751907
TR0400042    ,26/10/2022,14:41:41,116069.833,558990.91599999997,2.3380000000000001,0.01,0.01,57.488807197759115
TR0400043    ,26/10/2022,14:41:42,116070.709,558989.723,2.3399999999999999,0.01,0.01,58.968883209298937
TR0400044    ,26/10/2022,14:41:43,116071.55499999999,558988.56599999999,2.3490000000000002,0.01,0.01,60.402188829185683
TR0400045    ,26/10/2022,14:41:44,116072.33100000001,558987.57299999997,2.3239999999999998,0.01,0.01,61.662436820674976
TR0400046    ,26/10/2022,14:41:45,116073.30100000001,558986.47999999998,2.3029999999999999,0.01,0.01,63.12378859214823
TR0400047    ,26/10/2022,14:41:46,116074.231,558985.35499999998,2.3170000000000002,0.01,0.01,64.583420395031069
TR0400048    ,26/10/2022,14:41:46,116075.00999999999,558984.26199999999,2.3220000000000001,0.01,0.01,65.925616356870449
TR0400049    ,26/10/2022,14:41:48,116075.852,558983.12899999996,2.27,0.01,0.01,67.337229972587124
TR0400050    ,26/10/2022,14:41:49,116076.645,558982.06400000001,2.2229999999999999,0.01,0.01,68.665037940588931
TR0400051    ,26/10/2022,14:41:49,116077.372,558980.99300000002,2.149,0.01,0.01,69.959476042620267
TR0400052    ,26/10/2022,14:41:51,116078.284,558979.85499999998,2.089,0.01,0.01,71.417827166346783
TR0400053    ,26/10/2022,14:41:52,116079.094,558978.71699999995,2.0110000000000001,0.01,0.01,72.81466072839946
TR0400054    ,26/10/2022,14:41:53,116080.05,558977.62100000004,1.974,0.01,0.01,74.269016943292627
TR0400055    ,26/10/2022,14:41:54,116080.822,558976.50100000005,1.913,0.01,0.01,75.629305148043827
TR0400056    ,26/10/2022,14:41:55,116081.644,558975.36300000001,1.804,0.01,0.01,77.033131348141524
TR0400057    ,26/10/2022,14:41:56,116082.431,558974.26399999997,1.6100000000000001,0.01,0.01,78.384859871216705
TR0400058    ,26/10/2022,14:41:57,116083.292,558973.054,1.3360000000000001,0.01,0.01,79.869925862988609
TR0400059    ,26/10/2022,14:41:58,116084.23299999999,558971.80200000003,1.1870000000000001,0.01,0.01,81.436126680230956
TR0400060    ,26/10/2022,14:41:59,116085.205,558970.56200000003,1.0429999999999999,0.01,0.01,83.011684993970604
TR0400061    ,26/10/2022,14:41:60,116086.068,558969.36899999995,0.97299999999999998,0.01,0.01,84.484104091986666
TR0400062    ,26/10/2022,14:42:01,116086.84299999999,558968.23300000001,0.90900000000000003,0.01,0.01,85.859284443742595
TR0400063    ,26/10/2022,14:42:02,116087.62,558967.03000000003,0.82699999999999996,0.01,0.01,87.291394076401218
TR0400064    ,26/10/2022,14:42:03,116088.452,558965.77599999995,0.76300000000000001,0.01,0.01,88.796299389103723
TR0400065    ,26/10/2022,14:42:04,116089.20600000001,558964.58400000003,0.69699999999999995,0.01,0.01,90.206753216712741
TR0400066    ,26/10/2022,14:42:05,116089.946,558963.37,0.63400000000000001,0.01,0.01,91.628511283359245
TR0400067    ,26/10/2022,14:42:06,116090.71000000001,558962.20600000001,0.58099999999999996,0.01,0.01,93.020844576788519
TR0400068    ,26/10/2022,14:42:07,116091.552,558961.03899999999,0.52600000000000002,0.01,0.01,94.459890441248547
TR0400069    ,26/10/2022,14:42:08,116092.26300000001,558959.87899999996,0.43099999999999999,0.01,0.01,95.820449517544091
TR0400070    ,26/10/2022,14:42:08,116093.008,558958.56000000006,0.32300000000000001,0.01,0.01,97.335304626038834
TR0400071    ,26/10/2022,14:42:10,116093.80899999999,558957.30900000001,0.20200000000000001,0.01,0.01,98.820768190084195
TR0400072    ,26/10/2022,14:42:11,116094.53599999999,558956.07299999997,0.066000000000000003,0.01,0.01,100.25472251295552
TR0400073    ,26/10/2022,14:42:11,116095.27899999999,558954.81599999999,-0.075999999999999998,0.01,0.01,101.71489305092743
TR0400074    ,26/10/2022,14:42:13,116096.11900000001,558953.61499999999,-0.245,0.01,0.01,103.18049906893528
TR0400075    ,26/10/2022,14:42:14,116096.878,558952.36699999997,-0.432,0.01,0.01,104.64117870528257
TR0400076    ,26/10/2022,14:42:15,116097.63499999999,558951.13199999998,-0.60999999999999999,0.01,0.01,106.08972073089389
TR0400077    ,26/10/2022,14:42:16,116098.40300000001,558950.09199999995,-0.73699999999999999,0.01,0.01,107.38255637400336
TR0400078    ,26/10/2022,14:42:17,116099.067,558949.17200000002,-0.88,0.01,0.01,108.51714704902642
TR0400079    ,26/10/2022,14:42:18,116099.61,558948.22999999998,-0.91600000000000004,0.01,0.01,109.60444323686083
TR0400080    ,26/10/2022,14:42:19,116100.179,558947.43700000003,-0.91900000000000004,0.01,0.01,110.58046065469689
TR0400081    ,26/10/2022,14:42:20,116100.66800000001,558946.68799999997,-0.91700000000000004,0.01,0.01,111.47495604322866
TR0400082    ,26/10/2022,14:42:21,116101.09600000001,558945.73400000005,-0.96399999999999997,0.01,0.01,112.52056591303159
TR0400083    ,26/10/2022,14:42:22,116101.47199999999,558944.853,-1.002,0.01,0.01,113.47844742975683
TR0400084    ,26/10/2022,14:42:23,116101.98299999999,558944.00199999998,-1.008,0.01,0.01,114.47108129984176
TR0400085    ,26/10/2022,14:42:24,116102.458,558943.277,-1.0289999999999999,0.01,0.01,115.33782809099345
TR0400086    ,26/10/2022,14:42:25,116102.844,558942.60900000005,-1.0049999999999999,0.01,0.01,116.10933311361353
TR0400087    ,26/10/2022,14:42:26,116103.20299999999,558941.79099999997,-1.006,0.01,0.01,117.00264436963764
TR0400088    ,26/10/2022,14:42:27,116103.67,558941.15300000005,-1.0269999999999999,0.01,0.01,117.79329789672806
TR0400089    ,26/10/2022,14:42:27,116104.14999999999,558940.402,-1.05,0.01,0.01,118.68458965595589
TR0400090    ,26/10/2022,14:42:29,116104.49099999999,558939.53300000005,-1.028,0.01,0.01,119.61810023431566
TR0400091    ,26/10/2022,14:42:30,116104.876,558938.80200000003,-1.044,0.01,0.01,120.44428786436671
TR0400092    ,26/10/2022,14:42:30,116105.355,558938.15700000001,-1.0429999999999999,0.01,0.01,121.24769685113276
TR0400093    ,26/10/2022,14:42:32,116105.745,558937.51800000004,-1.05,0.01,0.01,121.99630956806769
TR0400094    ,26/10/2022,14:42:33,116106.139,558936.75199999998,-1.0720000000000001,0.01,0.01,122.85769914316965
TR0400095    ,26/10/2022,14:42:34,116106.56200000001,558936.04399999999,-1.069,0.01,0.01,123.68243728342136
TR0400096    ,26/10/2022,14:42:35,116106.992,558935.55299999996,-1.071,0.01,0.01,124.33510948294536
TR0400097    ,26/10/2022,14:42:36,116107.38,558934.92000000004,-1.089,0.01,0.01,125.07756015463769
TR0400098    ,26/10/2022,14:42:37,116107.814,558934.22400000005,-1.1060000000000001,0.01,0.01,125.89778695253536
TR0400099    ,26/10/2022,14:42:38,116108.223,558933.64099999995,-1.1060000000000001,0.01,0.01,126.60994564279827
TR0400100    ,26/10/2022,14:42:39,116108.641,558933.00600000005,-1.111,0.01,0.01,127.37017521330198
TR0400101    ,26/10/2022,14:42:40,116109.011,558932.41700000002,-1.119,0.01,0.01,128.06574763946574
TR0400102    ,26/10/2022,14:42:41,116109.408,558931.89800000004,-1.1379999999999999,0.01,0.01,128.71917705414481
TR0400103    ,26/10/2022,14:42:42,116109.63499999999,558931.25600000005,-1.1080000000000001,0.01,0.01,129.4001271257286
TR0400104    ,26/10/2022,14:42:43,116110.057,558930.52399999998,-1.1220000000000001,0.01,0.01,130.24505789219222
TR0400105    ,26/10/2022,14:42:44,116110.512,558929.96600000001,-1.1439999999999999,0.01,0.01,130.96505025323358
TR0400106    ,26/10/2022,14:42:45,116110.90300000001,558929.19499999995,-1.1479999999999999,0.01,0.01,131.82952813039674
TR0400107    ,26/10/2022,14:42:46,116111.251,558928.39399999997,-1.1499999999999999,0.01,0.01,132.70285796497407
TR0400108    ,26/10/2022,14:42:47,116111.516,558927.91599999997,-1.161,0.01,0.01,133.24940073548922
TR0400109    ,26/10/2022,14:42:48,116111.93799999999,558927.21600000001,-1.1799999999999999,0.01,0.01,134.06676479141996
TR0400110    ,26/10/2022,14:42:49,116112.341,558926.33799999999,-1.1639999999999999,0.01,0.01,135.03283569981664
TR0400111    ,26/10/2022,14:42:49,116112.814,558925.57900000003,-1.1830000000000001,0.01,0.01,135.92715667124708
TR0400112    ,26/10/2022,14:42:51,116113.255,558925.12199999997,-1.194,0.01,0.01,136.56223934307332
TR0400113    ,26/10/2022,14:42:52,116113.715,558924.47199999995,-1.1799999999999999,0.01,0.01,137.35854330515235
TR0400114    ,26/10/2022,14:42:52,116114.069,558923.92599999998,-1.2190000000000001,0.01,0.01,138.00925983327747
TR0400115    ,26/10/2022,14:42:54,116114.514,558923.17200000002,-1.2110000000000001,0.01,0.01,138.88478310534319
TR0400116    ,26/10/2022,14:42:55,116115.061,558922.90300000005,-1.2230000000000001,0.01,0.01,139.49434852430244
TR0400117    ,26/10/2022,14:42:56,116115.673,558922.34499999997,-1.222,0.01,0.01,140.32254415341345
TR0400118    ,26/10/2022,14:42:57,116116.213,558921.84900000005,-1.2470000000000001,0.01,0.01,141.05576717537593
TR0400119    ,26/10/2022,14:42:58,116116.749,558921.39099999995,-1.2490000000000001,0.01,0.01,141.76079199769384
TR0400120    ,26/10/2022,14:42:59,116117.268,558920.91000000003,-1.2689999999999999,0.01,0.01,142.46840912574828
TR0400121    ,26/10/2022,14:42:60,116117.731,558920.43099999998,-1.264,0.01,0.01,143.13459978918578
TR0400122    ,26/10/2022,14:43:01,116118.315,558919.83999999997,-1.3100000000000001,0.01,0.01,143.96546500089019
TR0400123    ,26/10/2022,14:43:02,116118.97,558919.5,-1.3140000000000001,0.01,0.01,144.70345212813314
TR0400124    ,26/10/2022,14:43:03,116119.44,558918.87899999996,-1.341,0.01,0.01,145.482259549807
TR0400125    ,26/10/2022,14:43:04,116120.09,558918.51599999995,-1.351,0.01,0.01,146.22675199436316
TR0400126    ,26/10/2022,14:43:05,116120.72500000001,558917.87800000003,-1.349,0.01,0.01,147.12690142635122
TR0400127    ,26/10/2022,14:43:06,116121.34299999999,558917.44700000004,-1.3720000000000001,0.01,0.01,147.8803501638042
TR0400128    ,26/10/2022,14:43:07,116121.954,558916.93200000003,-1.3919999999999999,0.01,0.01,148.67944089708783
TR0400129    ,26/10/2022,14:43:08,116122.61500000001,558916.402,-1.397,0.01,0.01,149.52668407353679
TR0400130    ,26/10/2022,14:43:08,116123.21400000001,558916.01699999999,-1.399,0.01,0.01,150.23874165548472
TR0400131    ,26/10/2022,14:43:10,116123.75599999999,558915.62,-1.4059999999999999,0.01,0.01,150.91058464308182
TR0400132    ,26/10/2022,14:43:11,116124.405,558915.11300000001,-1.417,0.01,0.01,151.73414399127074
TR0400133    ,26/10/2022,14:43:11,116125.15399999999,558914.86199999996,-1.4099999999999999,0.01,0.01,152.52408196353065
TR0400134    ,26/10/2022,14:43:13,116125.72500000001,558914.53899999999,-1.4079999999999999,0.01,0.01,153.18010787764999
TR0400135    ,26/10/2022,14:43:14,116126.38099999999,558914.16000000003,-1.409,0.01,0.01,153.93772057550552
TR0400136    ,26/10/2022,14:43:15,116127.08900000001,558913.76300000004,-1.4550000000000001,0.01,0.01,154.74943049907216
TR0400137    ,26/10/2022,14:43:16,116127.74400000001,558913.49800000002,-1.4530000000000001,0.01,0.01,155.45600675115389
TR0400138    ,26/10/2022,14:43:17,116128.34600000001,558913.022,-1.4670000000000001,0.01,0.01,156.22345707529337
TR0400139    ,26/10/2022,14:43:18,116129.03999999999,558912.64399999997,-1.49,0.01,0.01,157.01372285337305
TR0400140    ,26/10/2022,14:43:19,116129.76700000001,558912.36499999999,-1.508,0.01,0.01,157.79242048404154
TR0400141    ,26/10/2022,14:43:20,116130.425,558912.04500000004,-1.5009999999999999,0.01,0.01,158.52410620890004
TR0400142    ,26/10/2022,14:43:21,116131.011,558911.804,-1.5249999999999999,0.01,0.01,159.15772833604944
